Train acc	Test acc	
 8.4007e-01	 6.6792e-01	
 9.4858e-01	 6.8553e-01	
 9.8156e-01	 7.1950e-01	
 9.9255e-01	 7.5472e-01	
 9.9752e-01	 7.8742e-01	
 9.9823e-01	 8.0881e-01	
 9.9929e-01	 8.2767e-01	
 9.9752e-01	 8.3522e-01	
 9.9965e-01	 8.4151e-01	
 9.9894e-01	 8.4780e-01	
 1.0000e+00	 8.6415e-01	
 1.0000e+00	 8.7673e-01	
 1.0000e+00	 8.6541e-01	
 9.9965e-01	 8.7044e-01	
 1.0000e+00	 8.7170e-01	
 1.0000e+00	 8.8931e-01	
 9.9965e-01	 8.8428e-01	
 9.9965e-01	 8.9308e-01	
 1.0000e+00	 9.1069e-01	
 1.0000e+00	 9.0440e-01	
 9.9965e-01	 9.1069e-01	
 1.0000e+00	 9.0692e-01	
 1.0000e+00	 9.1321e-01	
 1.0000e+00	 9.1572e-01	
 1.0000e+00	 9.1447e-01	
 1.0000e+00	 9.2453e-01	
 1.0000e+00	 9.2075e-01	
 1.0000e+00	 9.1950e-01	
 1.0000e+00	 9.2579e-01	
 1.0000e+00	 9.1572e-01	
 1.0000e+00	 9.2830e-01	
 1.0000e+00	 9.2830e-01	
 1.0000e+00	 9.2579e-01	
 9.9965e-01	 9.2830e-01	
 1.0000e+00	 9.3208e-01	
 9.9965e-01	 9.2704e-01	
 1.0000e+00	 9.3585e-01	
 9.9965e-01	 9.2830e-01	
 1.0000e+00	 9.3333e-01	
 9.9965e-01	 9.3711e-01	
 1.0000e+00	 9.3082e-01	
 1.0000e+00	 9.3836e-01	
 1.0000e+00	 9.3711e-01	
 1.0000e+00	 9.3711e-01	
 1.0000e+00	 9.3962e-01	
 1.0000e+00	 9.4340e-01	
 1.0000e+00	 9.4088e-01	
 1.0000e+00	 9.3962e-01	
 1.0000e+00	 9.4340e-01	
 1.0000e+00	 9.4591e-01	
 1.0000e+00	 9.4591e-01	
 1.0000e+00	 9.4969e-01	
 1.0000e+00	 9.4088e-01	
 1.0000e+00	 9.4969e-01	
 9.9965e-01	 9.4969e-01	
 1.0000e+00	 9.4591e-01	
 1.0000e+00	 9.5220e-01	
 1.0000e+00	 9.4717e-01	
 1.0000e+00	 9.4843e-01	
 1.0000e+00	 9.4465e-01	
 1.0000e+00	 9.5094e-01	
 1.0000e+00	 9.5849e-01	
 9.9929e-01	 9.4843e-01	
 1.0000e+00	 9.5220e-01	
 1.0000e+00	 9.5220e-01	
 1.0000e+00	 9.5472e-01	
 1.0000e+00	 9.5849e-01	
 1.0000e+00	 9.4969e-01	
 1.0000e+00	 9.5094e-01	
 1.0000e+00	 9.5220e-01	
 1.0000e+00	 9.5220e-01	
 1.0000e+00	 9.5472e-01	
 1.0000e+00	 9.5472e-01	
 1.0000e+00	 9.5346e-01	
 1.0000e+00	 9.5094e-01	
 1.0000e+00	 9.5346e-01	
 1.0000e+00	 9.5597e-01	
 1.0000e+00	 9.5346e-01	
 1.0000e+00	 9.5723e-01	
 1.0000e+00	 9.5220e-01	
 9.9965e-01	 9.5597e-01	
 1.0000e+00	 9.5094e-01	
 1.0000e+00	 9.5094e-01	
