Train source aleatoric domain uncertainty	Train target aleatoric domain uncertainty	Test target aleatoric domain uncertainty	
 2.6117e-02	 3.0344e-02	 2.3051e-02	
 1.3685e-02	 1.8275e-02	 1.0216e-02	
 1.0058e-02	 1.3798e-02	 6.6619e-03	
 9.2058e-03	 1.0958e-02	 5.6337e-03	
 8.3094e-03	 8.8561e-03	 5.8289e-03	
 8.0484e-03	 7.9282e-03	 5.3843e-03	
 7.8245e-03	 7.4325e-03	 5.1335e-03	
 7.4193e-03	 7.4755e-03	 5.1490e-03	
 7.2522e-03	 7.3148e-03	 5.5151e-03	
 7.1580e-03	 7.2969e-03	 5.0446e-03	
 6.6286e-03	 7.0595e-03	 5.0313e-03	
 6.3719e-03	 6.6501e-03	 4.7297e-03	
 6.0979e-03	 7.0808e-03	 5.2954e-03	
 5.1621e-03	 6.2005e-03	 4.5064e-03	
 5.3083e-03	 5.9868e-03	 4.6058e-03	
 4.9927e-03	 5.6537e-03	 4.1277e-03	
 4.5131e-03	 5.3550e-03	 3.8605e-03	
 4.2366e-03	 5.2756e-03	 4.1544e-03	
 3.9184e-03	 4.3543e-03	 3.2415e-03	
 3.5079e-03	 4.0824e-03	 3.1951e-03	
 3.5851e-03	 4.3550e-03	 3.4117e-03	
 3.4750e-03	 3.9688e-03	 3.1951e-03	
 3.5332e-03	 4.2554e-03	 3.3165e-03	
 3.3502e-03	 3.9205e-03	 3.1472e-03	
 3.4832e-03	 4.0252e-03	 3.0520e-03	
 3.5107e-03	 4.1730e-03	 3.2635e-03	
 3.3128e-03	 3.8228e-03	 3.1051e-03	
 3.3052e-03	 3.7838e-03	 3.1937e-03	
 3.5094e-03	 3.6734e-03	 2.9943e-03	
 3.5287e-03	 4.1571e-03	 3.1391e-03	
 3.1933e-03	 3.7882e-03	 3.3372e-03	
 3.4134e-03	 3.7152e-03	 3.0260e-03	
 3.1544e-03	 3.6412e-03	 2.8614e-03	
 3.0683e-03	 3.4688e-03	 2.9315e-03	
 3.0336e-03	 3.5364e-03	 2.7761e-03	
 2.8535e-03	 3.1096e-03	 2.8419e-03	
 2.9105e-03	 3.1823e-03	 2.7677e-03	
 2.7499e-03	 3.2101e-03	 2.6508e-03	
 3.1428e-03	 3.2844e-03	 2.6974e-03	
 2.8347e-03	 3.2112e-03	 2.4471e-03	
 3.0098e-03	 3.2799e-03	 2.7110e-03	
 2.8239e-03	 3.0413e-03	 2.7498e-03	
 2.8327e-03	 3.0444e-03	 2.6985e-03	
 2.8328e-03	 3.0316e-03	 2.6084e-03	
 2.7513e-03	 2.9807e-03	 2.6570e-03	
 2.8722e-03	 3.0307e-03	 2.4584e-03	
 3.0584e-03	 3.3901e-03	 2.9398e-03	
 2.9735e-03	 3.0290e-03	 2.6414e-03	
 3.0389e-03	 3.2251e-03	 3.1339e-03	
 2.8885e-03	 3.0062e-03	 2.6238e-03	
 2.9175e-03	 3.0684e-03	 2.7537e-03	
 2.7807e-03	 3.0845e-03	 2.6547e-03	
 2.7450e-03	 2.9464e-03	 2.5172e-03	
 2.9735e-03	 3.1932e-03	 2.8749e-03	
 2.8242e-03	 2.9631e-03	 2.7511e-03	
 2.7399e-03	 2.9080e-03	 2.3906e-03	
 2.6816e-03	 2.9818e-03	 2.4574e-03	
 2.3786e-03	 2.6492e-03	 2.1621e-03	
 2.4817e-03	 2.6723e-03	 2.3724e-03	
 2.2978e-03	 2.4738e-03	 2.1424e-03	
 2.2739e-03	 2.4649e-03	 2.0678e-03	
 2.3166e-03	 2.5471e-03	 2.2267e-03	
 2.1601e-03	 2.3721e-03	 2.0121e-03	
 2.1593e-03	 2.4833e-03	 1.9101e-03	
 2.0426e-03	 2.1437e-03	 1.9233e-03	
 2.0511e-03	 2.2106e-03	 1.8692e-03	
 1.8422e-03	 2.1253e-03	 1.7133e-03	
 1.9802e-03	 2.1037e-03	 1.8672e-03	
 1.9394e-03	 2.0421e-03	 2.0108e-03	
 1.8918e-03	 2.1118e-03	 1.7530e-03	
 1.8853e-03	 1.9528e-03	 1.6930e-03	
 1.7726e-03	 1.9607e-03	 1.7857e-03	
 1.8145e-03	 2.0359e-03	 1.7304e-03	
 1.7503e-03	 1.9564e-03	 1.6958e-03	
 1.7421e-03	 1.9106e-03	 1.7418e-03	
 1.7122e-03	 1.9094e-03	 1.5614e-03	
 1.6956e-03	 1.8996e-03	 1.5553e-03	
 1.7705e-03	 1.9258e-03	 1.6788e-03	
 1.7070e-03	 1.6883e-03	 1.5117e-03	
