Train source aleatoric uncertainty	Train target aleatoric uncertainty	Test target aleatoric uncertainty	
 1.1537e-01	 1.3295e-01	 1.1761e-01	
 7.1059e-02	 9.2932e-02	 7.7603e-02	
 5.3712e-02	 6.8628e-02	 4.4098e-02	
 4.4043e-02	 5.4060e-02	 3.8325e-02	
 3.7246e-02	 4.3341e-02	 3.9428e-02	
 3.3439e-02	 3.5364e-02	 3.2168e-02	
 2.9412e-02	 2.8960e-02	 2.7859e-02	
 2.6727e-02	 2.6222e-02	 3.1003e-02	
 2.5062e-02	 2.4774e-02	 2.7658e-02	
 2.2635e-02	 2.1875e-02	 2.3554e-02	
 2.0949e-02	 2.1098e-02	 2.3318e-02	
 1.8904e-02	 1.9774e-02	 2.0396e-02	
 1.7826e-02	 1.8127e-02	 2.3219e-02	
 1.6502e-02	 1.6988e-02	 1.7515e-02	
 1.5940e-02	 1.6411e-02	 1.9711e-02	
 1.4763e-02	 1.5837e-02	 1.8107e-02	
 1.4222e-02	 1.4936e-02	 1.4390e-02	
 1.3366e-02	 1.4498e-02	 1.8803e-02	
 1.3037e-02	 1.3833e-02	 1.5590e-02	
 1.1792e-02	 1.3210e-02	 1.5430e-02	
 1.1663e-02	 1.2963e-02	 1.6787e-02	
 1.1655e-02	 1.2866e-02	 1.3858e-02	
 1.1256e-02	 1.2038e-02	 1.3489e-02	
 1.1502e-02	 1.2362e-02	 1.2835e-02	
 1.1066e-02	 1.2281e-02	 1.2612e-02	
 1.0750e-02	 1.1495e-02	 1.2818e-02	
 1.0695e-02	 1.1550e-02	 1.3654e-02	
 1.0137e-02	 1.1051e-02	 1.2087e-02	
 1.0234e-02	 1.1148e-02	 1.1316e-02	
 9.8644e-03	 1.0651e-02	 1.0292e-02	
 9.8463e-03	 1.1145e-02	 1.1153e-02	
 9.9623e-03	 1.0685e-02	 1.2989e-02	
 9.3604e-03	 1.0137e-02	 1.2412e-02	
 9.2308e-03	 1.0360e-02	 1.0959e-02	
 9.4443e-03	 1.0006e-02	 1.1958e-02	
 9.0432e-03	 9.9289e-03	 1.0354e-02	
 8.9132e-03	 9.5588e-03	 1.1478e-02	
 9.0382e-03	 9.6286e-03	 1.2260e-02	
 8.6384e-03	 9.1173e-03	 9.3733e-03	
 8.6477e-03	 9.1127e-03	 1.0075e-02	
 8.2763e-03	 8.7699e-03	 1.0275e-02	
 8.3781e-03	 8.9841e-03	 9.9921e-03	
 8.2015e-03	 8.8261e-03	 1.0039e-02	
 8.1379e-03	 8.4962e-03	 1.0484e-02	
 8.0077e-03	 8.7622e-03	 9.1060e-03	
 8.0664e-03	 8.4348e-03	 7.2732e-03	
 8.0078e-03	 8.3418e-03	 8.8473e-03	
 7.7572e-03	 8.3420e-03	 9.1669e-03	
 7.5906e-03	 8.1738e-03	 9.9198e-03	
 7.7143e-03	 8.2950e-03	 1.0227e-02	
 7.5137e-03	 8.1118e-03	 8.7952e-03	
 7.6592e-03	 7.9061e-03	 8.6373e-03	
 7.5125e-03	 8.1192e-03	 8.9805e-03	
 7.2358e-03	 7.9436e-03	 8.8625e-03	
 7.0536e-03	 7.7349e-03	 1.0172e-02	
 7.2085e-03	 7.8415e-03	 7.2655e-03	
 6.9865e-03	 7.3553e-03	 7.9425e-03	
 6.9379e-03	 7.5574e-03	 7.1623e-03	
 6.9479e-03	 7.5504e-03	 8.0765e-03	
 6.8388e-03	 7.2190e-03	 8.1861e-03	
 6.8692e-03	 7.2622e-03	 8.4216e-03	
 6.8594e-03	 7.2141e-03	 8.2322e-03	
 6.6600e-03	 7.0295e-03	 7.7238e-03	
 6.6733e-03	 6.8439e-03	 6.5729e-03	
 6.6897e-03	 7.0333e-03	 7.2640e-03	
 6.4142e-03	 6.7217e-03	 7.6957e-03	
 6.3713e-03	 6.7356e-03	 7.2995e-03	
 6.4680e-03	 6.8341e-03	 8.1976e-03	
 6.2686e-03	 6.4056e-03	 8.2075e-03	
 6.1523e-03	 6.9414e-03	 6.8599e-03	
 6.2011e-03	 6.7320e-03	 7.0456e-03	
 6.0253e-03	 6.3840e-03	 8.3506e-03	
 6.1299e-03	 6.4630e-03	 6.8551e-03	
 6.0898e-03	 6.3641e-03	 7.0303e-03	
 5.9033e-03	 6.2414e-03	 7.4809e-03	
 5.7963e-03	 6.4575e-03	 6.5587e-03	
 5.8473e-03	 6.1116e-03	 6.2415e-03	
 5.7286e-03	 5.9367e-03	 6.9109e-03	
 5.7328e-03	 5.7537e-03	 6.8972e-03	
 5.4261e-03	 5.9198e-03	 6.2401e-03	
 5.6920e-03	 5.9042e-03	 7.2606e-03	
 5.5480e-03	 5.7120e-03	 5.4757e-03	
 5.5505e-03	 5.6062e-03	 6.4131e-03	
 5.4528e-03	 5.4452e-03	 6.4475e-03	
 5.4509e-03	 5.7773e-03	 6.7174e-03	
 5.3650e-03	 5.9692e-03	 6.7971e-03	
 5.4440e-03	 5.7793e-03	 6.6944e-03	
 5.4630e-03	 5.6969e-03	 6.0081e-03	
 5.3117e-03	 5.5205e-03	 6.6033e-03	
 5.2399e-03	 5.5273e-03	 5.9259e-03	
 5.2547e-03	 5.4186e-03	 6.7071e-03	
 5.1436e-03	 5.5172e-03	 6.3569e-03	
 5.0778e-03	 5.5120e-03	 6.1277e-03	
 5.0607e-03	 5.2321e-03	 6.1923e-03	
 5.1314e-03	 5.2670e-03	 6.1842e-03	
 5.0011e-03	 5.2601e-03	 5.3599e-03	
 5.1075e-03	 5.3324e-03	 6.0238e-03	
 4.9452e-03	 5.3628e-03	 6.1633e-03	
 5.0107e-03	 5.2053e-03	 5.7276e-03	
 4.9322e-03	 5.2246e-03	 6.1544e-03	
 4.9000e-03	 5.2821e-03	 5.6072e-03	
 4.8699e-03	 5.1654e-03	 6.0660e-03	
 4.8758e-03	 5.0633e-03	 5.8175e-03	
 4.8349e-03	 5.0135e-03	 5.4449e-03	
 4.8680e-03	 5.1835e-03	 5.3853e-03	
 4.7489e-03	 4.9031e-03	 5.6342e-03	
 4.6273e-03	 5.0157e-03	 5.0845e-03	
 4.7753e-03	 4.8911e-03	 5.8166e-03	
 4.7651e-03	 4.9316e-03	 5.6751e-03	
 4.5602e-03	 4.8291e-03	 6.3654e-03	
 4.5962e-03	 4.9101e-03	 5.4772e-03	
 4.7457e-03	 4.9969e-03	 5.8994e-03	
 4.4964e-03	 4.7452e-03	 5.2809e-03	
 4.5439e-03	 4.8737e-03	 5.1566e-03	
 4.5142e-03	 4.5291e-03	 5.2627e-03	
 4.5474e-03	 4.5773e-03	 4.5914e-03	
 4.4989e-03	 4.7498e-03	 5.2302e-03	
 4.3551e-03	 4.5644e-03	 5.4756e-03	
 4.4032e-03	 4.6545e-03	 6.2632e-03	
 4.3773e-03	 4.3716e-03	 5.0004e-03	
 4.4281e-03	 4.4875e-03	 5.4657e-03	
 4.3251e-03	 4.5969e-03	 4.8906e-03	
 4.3853e-03	 4.4503e-03	 5.7961e-03	
 4.3426e-03	 4.6059e-03	 4.6153e-03	
 4.2786e-03	 4.3694e-03	 4.5778e-03	
 4.2153e-03	 4.2428e-03	 5.6377e-03	
 4.3310e-03	 4.5171e-03	 5.8270e-03	
 4.2648e-03	 4.5068e-03	 5.0696e-03	
 4.2448e-03	 4.4753e-03	 4.9437e-03	
 4.2032e-03	 4.5717e-03	 5.9129e-03	
 4.1750e-03	 4.3343e-03	 5.1294e-03	
 4.1723e-03	 4.3517e-03	 4.9735e-03	
 4.1712e-03	 4.2728e-03	 4.7280e-03	
 4.0787e-03	 4.3834e-03	 4.6860e-03	
 4.1311e-03	 4.4320e-03	 5.1549e-03	
 4.0476e-03	 4.3751e-03	 5.2604e-03	
 4.0694e-03	 4.3081e-03	 4.4392e-03	
 4.0511e-03	 4.2385e-03	 4.6724e-03	
 4.0366e-03	 4.3016e-03	 4.7177e-03	
 3.9962e-03	 4.1405e-03	 5.0834e-03	
 4.0268e-03	 4.1416e-03	 4.6734e-03	
 4.0390e-03	 4.1485e-03	 4.9799e-03	
 4.0290e-03	 4.1681e-03	 4.4466e-03	
 3.9661e-03	 4.1393e-03	 4.7646e-03	
 3.9630e-03	 4.1176e-03	 4.7230e-03	
 3.9449e-03	 4.1611e-03	 4.3308e-03	
 3.9052e-03	 4.0967e-03	 5.0108e-03	
 3.9136e-03	 4.1442e-03	 4.8830e-03	
 3.9208e-03	 4.0511e-03	 4.9587e-03	
 3.9558e-03	 3.9749e-03	 4.6594e-03	
 3.8495e-03	 3.9484e-03	 4.7463e-03	
 3.8223e-03	 4.1084e-03	 4.4897e-03	
 3.9121e-03	 3.7725e-03	 4.3575e-03	
 3.8658e-03	 3.9143e-03	 4.0575e-03	
 3.8179e-03	 3.9027e-03	 3.8172e-03	
 3.7825e-03	 3.9180e-03	 4.5436e-03	
 3.7585e-03	 3.9318e-03	 4.6043e-03	
 3.7746e-03	 3.9655e-03	 3.9892e-03	
 3.7081e-03	 3.8619e-03	 4.4188e-03	
 3.7905e-03	 3.8991e-03	 3.7752e-03	
 3.7202e-03	 4.0019e-03	 4.3822e-03	
 3.7722e-03	 3.9836e-03	 4.5270e-03	
 3.7140e-03	 3.9314e-03	 4.0374e-03	
 3.6907e-03	 3.9351e-03	 4.5259e-03	
 3.7235e-03	 3.9783e-03	 3.9238e-03	
 3.7273e-03	 3.8606e-03	 4.4248e-03	
 3.6081e-03	 3.7964e-03	 4.2375e-03	
 3.6448e-03	 3.7627e-03	 3.8984e-03	
 3.6891e-03	 3.7203e-03	 3.8461e-03	
 3.5930e-03	 3.9144e-03	 4.1383e-03	
 3.5971e-03	 3.7642e-03	 4.0754e-03	
 3.6310e-03	 3.6648e-03	 3.4548e-03	
