Train brier	Test brier	
 4.2693e-04	 6.0970e-04	
 2.8519e-04	 5.4672e-04	
 2.3064e-04	 5.0073e-04	
 2.0268e-04	 4.5661e-04	
 1.9210e-04	 4.2844e-04	
 1.8157e-04	 3.9944e-04	
 1.7450e-04	 3.7918e-04	
 1.7118e-04	 3.7079e-04	
 1.6535e-04	 3.6553e-04	
 1.6141e-04	 3.4025e-04	
 1.5911e-04	 3.3867e-04	
 1.5579e-04	 3.2317e-04	
 1.5411e-04	 3.4808e-04	
 1.5512e-04	 3.1270e-04	
 1.5511e-04	 3.3073e-04	
 1.5299e-04	 3.1579e-04	
 1.5299e-04	 2.9290e-04	
 1.5057e-04	 3.2995e-04	
 1.5112e-04	 2.9026e-04	
 1.4709e-04	 2.9896e-04	
 1.4840e-04	 3.0654e-04	
 1.4732e-04	 2.8525e-04	
 1.4901e-04	 2.7364e-04	
 1.4757e-04	 2.6668e-04	
 1.4870e-04	 2.7207e-04	
 1.4773e-04	 2.7072e-04	
 1.4740e-04	 2.7716e-04	
 1.4702e-04	 2.7285e-04	
 1.4785e-04	 2.5093e-04	
 1.4434e-04	 2.4977e-04	
 1.4539e-04	 2.5657e-04	
 1.4547e-04	 2.7574e-04	
 1.4759e-04	 2.7377e-04	
 1.4475e-04	 2.4846e-04	
 1.4664e-04	 2.5723e-04	
 1.4517e-04	 2.5094e-04	
 1.4468e-04	 2.5850e-04	
 1.4630e-04	 2.7054e-04	
 1.4700e-04	 2.3659e-04	
 1.4637e-04	 2.3688e-04	
 1.4487e-04	 2.4729e-04	
 1.4493e-04	 2.4536e-04	
 1.4460e-04	 2.4354e-04	
 1.4578e-04	 2.4651e-04	
 1.4483e-04	 2.2946e-04	
 1.4666e-04	 2.0408e-04	
 1.4575e-04	 2.2934e-04	
 1.4550e-04	 2.2989e-04	
 1.4344e-04	 2.5209e-04	
 1.4385e-04	 2.4997e-04	
 1.4295e-04	 2.3001e-04	
 1.4655e-04	 2.2569e-04	
 1.4348e-04	 2.3291e-04	
 1.4369e-04	 2.3190e-04	
 1.4501e-04	 2.5220e-04	
 1.4462e-04	 2.0975e-04	
 1.4348e-04	 2.1691e-04	
 1.4397e-04	 2.0895e-04	
 1.4328e-04	 2.3316e-04	
 1.4393e-04	 2.3171e-04	
 1.4365e-04	 2.3142e-04	
 1.4535e-04	 2.2375e-04	
 1.4638e-04	 2.2407e-04	
 1.4331e-04	 2.0571e-04	
