Train source diff entropy	Train target diff entropy	Test diff entropy	
-1.4427e+02	-1.0743e+02	-1.0038e+02	
-1.4760e+02	-1.0552e+02	-1.0338e+02	
-1.3430e+02	-1.0654e+02	-1.0732e+02	
-1.3092e+02	-1.1082e+02	-1.0574e+02	
-1.2995e+02	-1.1396e+02	-1.0267e+02	
-1.2530e+02	-1.1647e+02	-1.0351e+02	
-1.2421e+02	-1.1976e+02	-1.0394e+02	
-1.2230e+02	-1.1815e+02	-1.0217e+02	
-1.2174e+02	-1.2022e+02	-1.0238e+02	
-1.2085e+02	-1.1939e+02	-1.0336e+02	
-1.2035e+02	-1.1552e+02	-1.0252e+02	
-1.1976e+02	-1.1567e+02	-1.0286e+02	
-1.1979e+02	-1.1575e+02	-1.0021e+02	
-1.1946e+02	-1.1647e+02	-1.0332e+02	
-1.1932e+02	-1.1430e+02	-1.0086e+02	
-1.1934e+02	-1.1336e+02	-1.0147e+02	
-1.1862e+02	-1.1428e+02	-1.0369e+02	
-1.1855e+02	-1.1295e+02	-9.9077e+01	
-1.1857e+02	-1.1467e+02	-1.0187e+02	
-1.1860e+02	-1.1422e+02	-1.0071e+02	
-1.1832e+02	-1.1265e+02	-9.9604e+01	
-1.1790e+02	-1.1434e+02	-1.0186e+02	
-1.1831e+02	-1.1414e+02	-1.0216e+02	
-1.1822e+02	-1.1451e+02	-1.0270e+02	
-1.1847e+02	-1.1376e+02	-1.0238e+02	
-1.1827e+02	-1.1334e+02	-1.0164e+02	
-1.1815e+02	-1.1514e+02	-1.0101e+02	
-1.1825e+02	-1.1495e+02	-1.0203e+02	
-1.1823e+02	-1.1575e+02	-1.0324e+02	
-1.1767e+02	-1.1484e+02	-1.0375e+02	
-1.1790e+02	-1.1469e+02	-1.0258e+02	
-1.1780e+02	-1.1416e+02	-1.0097e+02	
-1.1807e+02	-1.1447e+02	-1.0096e+02	
-1.1795e+02	-1.1368e+02	-1.0235e+02	
-1.1814e+02	-1.1427e+02	-1.0164e+02	
-1.1766e+02	-1.1610e+02	-1.0266e+02	
-1.1800e+02	-1.1528e+02	-1.0127e+02	
-1.1780e+02	-1.1555e+02	-1.0073e+02	
-1.1777e+02	-1.1549e+02	-1.0363e+02	
-1.1763e+02	-1.1572e+02	-1.0307e+02	
-1.1758e+02	-1.1523e+02	-1.0193e+02	
-1.1796e+02	-1.1653e+02	-1.0238e+02	
-1.1780e+02	-1.1543e+02	-1.0216e+02	
-1.1762e+02	-1.1641e+02	-1.0166e+02	
-1.1764e+02	-1.1540e+02	-1.0311e+02	
-1.1754e+02	-1.1625e+02	-1.0648e+02	
-1.1776e+02	-1.1652e+02	-1.0314e+02	
-1.1739e+02	-1.1511e+02	-1.0295e+02	
-1.1740e+02	-1.1524e+02	-1.0082e+02	
-1.1726e+02	-1.1504e+02	-1.0120e+02	
-1.1732e+02	-1.1615e+02	-1.0285e+02	
-1.1763e+02	-1.1614e+02	-1.0304e+02	
-1.1747e+02	-1.1520e+02	-1.0260e+02	
-1.1749e+02	-1.1545e+02	-1.0200e+02	
