Train source entropy	Train target entropy	Test entropy	
 2.1774e+00	 2.6283e+00	 2.7435e+00	
 1.9393e+00	 2.5776e+00	 2.5484e+00	
 1.8526e+00	 2.4884e+00	 2.3949e+00	
 1.8025e+00	 2.3521e+00	 2.3676e+00	
 1.7871e+00	 2.2647e+00	 2.3913e+00	
 1.7659e+00	 2.1770e+00	 2.3247e+00	
 1.7579e+00	 2.1081e+00	 2.2848e+00	
 1.7511e+00	 2.1033e+00	 2.3144e+00	
 1.7391e+00	 2.0767e+00	 2.2977e+00	
 1.7342e+00	 2.0445e+00	 2.2281e+00	
 1.7287e+00	 2.0742e+00	 2.2590e+00	
 1.7231e+00	 2.0378e+00	 2.2171e+00	
 1.7170e+00	 2.0350e+00	 2.3248e+00	
 1.7227e+00	 1.9963e+00	 2.1787e+00	
 1.7244e+00	 2.0240e+00	 2.2708e+00	
 1.7178e+00	 2.0309e+00	 2.2403e+00	
 1.7203e+00	 2.0078e+00	 2.1304e+00	
 1.7137e+00	 2.0053e+00	 2.3382e+00	
 1.7148e+00	 1.9713e+00	 2.1964e+00	
 1.7062e+00	 1.9705e+00	 2.2388e+00	
 1.7090e+00	 1.9873e+00	 2.2876e+00	
 1.7080e+00	 1.9549e+00	 2.1863e+00	
 1.7110e+00	 1.9508e+00	 2.1605e+00	
 1.7090e+00	 1.9345e+00	 2.1327e+00	
 1.7104e+00	 1.9566e+00	 2.1461e+00	
 1.7118e+00	 1.9544e+00	 2.1727e+00	
 1.7079e+00	 1.9264e+00	 2.2051e+00	
 1.7064e+00	 1.9111e+00	 2.1642e+00	
 1.7080e+00	 1.8901e+00	 2.0919e+00	
 1.7058e+00	 1.9023e+00	 2.0661e+00	
 1.7037e+00	 1.9096e+00	 2.1233e+00	
 1.7044e+00	 1.9123e+00	 2.1979e+00	
 1.7078e+00	 1.9005e+00	 2.2021e+00	
 1.7025e+00	 1.9201e+00	 2.1165e+00	
 1.7052e+00	 1.9031e+00	 2.1492e+00	
 1.7058e+00	 1.8554e+00	 2.1066e+00	
 1.7022e+00	 1.8694e+00	 2.1639e+00	
 1.7053e+00	 1.8677e+00	 2.1985e+00	
 1.7090e+00	 1.8704e+00	 2.0532e+00	
 1.7091e+00	 1.8560e+00	 2.0721e+00	
 1.7058e+00	 1.8625e+00	 2.1254e+00	
 1.7023e+00	 1.8442e+00	 2.1073e+00	
 1.7038e+00	 1.8518e+00	 2.1172e+00	
 1.7055e+00	 1.8199e+00	 2.1340e+00	
 1.7072e+00	 1.8429e+00	 2.0637e+00	
 1.7098e+00	 1.8329e+00	 1.9167e+00	
 1.7054e+00	 1.8383e+00	 2.0626e+00	
 1.7068e+00	 1.8450e+00	 2.0692e+00	
 1.7012e+00	 1.8382e+00	 2.1772e+00	
 1.7031e+00	 1.8448e+00	 2.1568e+00	
 1.7004e+00	 1.8201e+00	 2.0701e+00	
 1.7077e+00	 1.8040e+00	 2.0564e+00	
 1.7019e+00	 1.8392e+00	 2.0797e+00	
 1.7023e+00	 1.8367e+00	 2.1040e+00	
 1.7045e+00	 1.8349e+00	 2.1996e+00	
 1.7055e+00	 1.8321e+00	 1.9796e+00	
 1.7031e+00	 1.8155e+00	 2.0432e+00	
 1.7031e+00	 1.8225e+00	 1.9836e+00	
 1.7026e+00	 1.8412e+00	 2.1006e+00	
 1.7021e+00	 1.8149e+00	 2.0971e+00	
 1.7000e+00	 1.8151e+00	 2.1056e+00	
 1.7060e+00	 1.8236e+00	 2.0977e+00	
 1.7092e+00	 1.8113e+00	 2.0665e+00	
 1.7018e+00	 1.8189e+00	 1.9698e+00	
 1.7004e+00	 1.7975e+00	 2.0399e+00	
 1.6985e+00	 1.7814e+00	 2.0706e+00	
 1.7054e+00	 1.8113e+00	 2.0430e+00	
 1.7022e+00	 1.7994e+00	 2.1175e+00	
 1.7003e+00	 1.7798e+00	 2.1613e+00	
 1.7026e+00	 1.8315e+00	 2.0209e+00	
 1.7009e+00	 1.7912e+00	 2.0360e+00	
 1.6984e+00	 1.7756e+00	 2.1593e+00	
 1.7019e+00	 1.7934e+00	 2.0221e+00	
 1.6974e+00	 1.7950e+00	 2.0523e+00	
 1.6977e+00	 1.7766e+00	 2.1133e+00	
 1.6986e+00	 1.8004e+00	 2.0103e+00	
 1.7035e+00	 1.7941e+00	 1.9962e+00	
 1.7015e+00	 1.7717e+00	 2.0820e+00	
 1.7014e+00	 1.7624e+00	 2.0675e+00	
 1.6995e+00	 1.8016e+00	 2.0160e+00	
 1.6981e+00	 1.7730e+00	 2.0965e+00	
 1.7004e+00	 1.7474e+00	 1.9411e+00	
 1.7037e+00	 1.7561e+00	 2.0521e+00	
 1.7004e+00	 1.7414e+00	 2.0622e+00	
 1.7006e+00	 1.7868e+00	 2.0913e+00	
 1.6942e+00	 1.8142e+00	 2.1062e+00	
 1.6979e+00	 1.7915e+00	 2.0813e+00	
 1.6999e+00	 1.8043e+00	 2.0274e+00	
 1.6973e+00	 1.7693e+00	 2.0804e+00	
 1.6998e+00	 1.7724e+00	 2.0151e+00	
 1.6944e+00	 1.7641e+00	 2.0796e+00	
 1.6980e+00	 1.7932e+00	 2.0631e+00	
 1.6983e+00	 1.8011e+00	 2.0681e+00	
 1.6986e+00	 1.7574e+00	 2.0535e+00	
 1.6984e+00	 1.7690e+00	 2.0793e+00	
 1.7018e+00	 1.7766e+00	 1.9790e+00	
 1.7023e+00	 1.7634e+00	 2.0418e+00	
 1.6979e+00	 1.7939e+00	 2.0616e+00	
 1.7013e+00	 1.7910e+00	 2.0273e+00	
 1.7017e+00	 1.7640e+00	 2.0773e+00	
 1.6961e+00	 1.7755e+00	 2.0390e+00	
 1.6988e+00	 1.7650e+00	 2.0815e+00	
 1.6995e+00	 1.7743e+00	 2.0675e+00	
 1.6986e+00	 1.7561e+00	 1.9986e+00	
 1.7082e+00	 1.7850e+00	 2.0163e+00	
 1.6993e+00	 1.7517e+00	 2.0468e+00	
 1.6988e+00	 1.7682e+00	 1.9992e+00	
 1.6987e+00	 1.7643e+00	 2.0727e+00	
 1.7050e+00	 1.7670e+00	 2.0701e+00	
 1.6985e+00	 1.7514e+00	 2.1313e+00	
 1.7016e+00	 1.7621e+00	 2.0341e+00	
 1.6990e+00	 1.7844e+00	 2.1211e+00	
 1.6978e+00	 1.7455e+00	 2.0666e+00	
 1.6981e+00	 1.7765e+00	 2.0244e+00	
 1.7017e+00	 1.7438e+00	 2.0359e+00	
 1.7055e+00	 1.7389e+00	 1.9598e+00	
 1.6992e+00	 1.7578e+00	 2.0396e+00	
 1.6988e+00	 1.7448e+00	 2.0851e+00	
 1.6971e+00	 1.7648e+00	 2.1498e+00	
 1.7021e+00	 1.7320e+00	 2.0053e+00	
 1.7018e+00	 1.7372e+00	 2.0815e+00	
 1.7027e+00	 1.7570e+00	 2.0095e+00	
 1.6991e+00	 1.7440e+00	 2.1106e+00	
 1.7005e+00	 1.7652e+00	 1.9676e+00	
 1.6970e+00	 1.7470e+00	 1.9890e+00	
 1.7002e+00	 1.7315e+00	 2.1188e+00	
 1.7030e+00	 1.7513e+00	 2.1110e+00	
 1.6979e+00	 1.7529e+00	 2.0367e+00	
 1.7066e+00	 1.7569e+00	 2.0080e+00	
 1.6964e+00	 1.7729e+00	 2.1352e+00	
 1.6997e+00	 1.7498e+00	 2.0379e+00	
 1.6952e+00	 1.7415e+00	 2.0319e+00	
 1.6996e+00	 1.7393e+00	 2.0169e+00	
 1.6980e+00	 1.7638e+00	 1.9796e+00	
 1.6987e+00	 1.7718e+00	 2.0619e+00	
 1.6981e+00	 1.7651e+00	 2.0774e+00	
 1.6977e+00	 1.7589e+00	 1.9703e+00	
 1.7001e+00	 1.7576e+00	 2.0081e+00	
 1.7031e+00	 1.7576e+00	 2.0084e+00	
 1.6990e+00	 1.7453e+00	 2.0540e+00	
 1.6984e+00	 1.7456e+00	 2.0356e+00	
 1.6975e+00	 1.7405e+00	 2.0622e+00	
 1.7007e+00	 1.7457e+00	 1.9863e+00	
 1.6935e+00	 1.7466e+00	 2.0450e+00	
 1.6983e+00	 1.7426e+00	 2.0177e+00	
 1.6956e+00	 1.7450e+00	 2.0194e+00	
 1.6956e+00	 1.7626e+00	 2.0723e+00	
 1.6985e+00	 1.7515e+00	 2.0699e+00	
 1.6982e+00	 1.7366e+00	 2.0717e+00	
 1.6984e+00	 1.7432e+00	 2.0181e+00	
 1.6962e+00	 1.7366e+00	 2.0599e+00	
 1.6973e+00	 1.7720e+00	 2.0113e+00	
 1.6989e+00	 1.7207e+00	 2.0099e+00	
 1.6993e+00	 1.7253e+00	 1.9626e+00	
