Train error	Test error	Train error cross	Test error cross	
 2.1344e+00	 2.3527e+00	 1.0760e+00	 1.5535e+00	
 1.9298e+00	 2.2757e+00	 7.2995e-01	 1.3902e+00	
 1.8481e+00	 2.2509e+00	 6.1058e-01	 1.2927e+00	
 1.8072e+00	 2.1592e+00	 5.5035e-01	 1.1729e+00	
 1.7896e+00	 2.0828e+00	 5.2799e-01	 1.0970e+00	
 1.7734e+00	 2.0494e+00	 5.0699e-01	 1.0298e+00	
 1.7619e+00	 2.0202e+00	 4.9248e-01	 9.7905e-01	
 1.7565e+00	 1.9878e+00	 4.8774e-01	 9.5618e-01	
 1.7484e+00	 1.9892e+00	 4.7580e-01	 9.5317e-01	
 1.7425e+00	 1.9561e+00	 4.6858e-01	 8.8511e-01	
 1.7384e+00	 1.9434e+00	 4.6433e-01	 8.8314e-01	
 1.7337e+00	 1.9256e+00	 4.5775e-01	 8.4676e-01	
 1.7323e+00	 1.9348e+00	 4.5454e-01	 9.0627e-01	
 1.7321e+00	 1.9159e+00	 4.5678e-01	 8.2241e-01	
 1.7315e+00	 1.9206e+00	 4.5643e-01	 8.7218e-01	
 1.7291e+00	 1.8976e+00	 4.5241e-01	 8.2745e-01	
 1.7281e+00	 1.8944e+00	 4.5306e-01	 7.8118e-01	
 1.7253e+00	 1.8897e+00	 4.4832e-01	 8.5929e-01	
 1.7256e+00	 1.8615e+00	 4.4893e-01	 7.6597e-01	
 1.7216e+00	 1.8635e+00	 4.4168e-01	 7.8819e-01	
 1.7223e+00	 1.8601e+00	 4.4436e-01	 8.0419e-01	
 1.7204e+00	 1.8514e+00	 4.4240e-01	 7.5009e-01	
 1.7229e+00	 1.8395e+00	 4.4521e-01	 7.2627e-01	
 1.7210e+00	 1.8371e+00	 4.4266e-01	 7.1280e-01	
 1.7228e+00	 1.8387e+00	 4.4477e-01	 7.2075e-01	
 1.7206e+00	 1.8302e+00	 4.4300e-01	 7.2132e-01	
 1.7209e+00	 1.8291e+00	 4.4268e-01	 7.3182e-01	
