Train source aleatoric error	Test target aleatoric error	
 1.1549e+00	 1.6025e+00	
 7.8641e-01	 1.4297e+00	
 6.5542e-01	 1.3164e+00	
 5.8782e-01	 1.1945e+00	
 5.5980e-01	 1.1213e+00	
 5.3571e-01	 1.0511e+00	
 5.1781e-01	 9.9676e-01	
 5.1061e-01	 9.7633e-01	
 4.9743e-01	 9.7082e-01	
 4.8824e-01	 9.0113e-01	
 4.8255e-01	 8.9996e-01	
 4.7419e-01	 8.6153e-01	
 4.6994e-01	 9.2249e-01	
 4.7106e-01	 8.3592e-01	
 4.7023e-01	 8.8617e-01	
 4.6516e-01	 8.4050e-01	
 4.6530e-01	 7.9215e-01	
 4.5997e-01	 8.7305e-01	
 4.6027e-01	 7.7745e-01	
 4.5197e-01	 7.9964e-01	
 4.5448e-01	 8.1625e-01	
 4.5253e-01	 7.6082e-01	
 4.5495e-01	 7.3648e-01	
 4.5263e-01	 7.2266e-01	
 4.5429e-01	 7.3040e-01	
 4.5227e-01	 7.3108e-01	
 4.5195e-01	 7.4217e-01	
 4.5033e-01	 7.2915e-01	
 4.5179e-01	 6.8453e-01	
 4.4573e-01	 6.8394e-01	
 4.4721e-01	 6.9288e-01	
 4.4740e-01	 7.3760e-01	
 4.5076e-01	 7.3325e-01	
 4.4583e-01	 6.7180e-01	
 4.4934e-01	 6.9785e-01	
 4.4642e-01	 6.8077e-01	
 4.4478e-01	 6.9860e-01	
 4.4847e-01	 7.2503e-01	
 4.4906e-01	 6.4798e-01	
 4.4851e-01	 6.4964e-01	
 4.4524e-01	 6.7382e-01	
 4.4473e-01	 6.6784e-01	
 4.4457e-01	 6.6093e-01	
 4.4627e-01	 6.7004e-01	
 4.4500e-01	 6.2599e-01	
 4.4820e-01	 5.7009e-01	
 4.4630e-01	 6.2759e-01	
 4.4566e-01	 6.3148e-01	
 4.4170e-01	 6.7903e-01	
 4.4276e-01	 6.7491e-01	
 4.4108e-01	 6.3148e-01	
 4.4763e-01	 6.1839e-01	
 4.4189e-01	 6.3892e-01	
 4.4158e-01	 6.3473e-01	
 4.4429e-01	 6.7993e-01	
 4.4383e-01	 5.8423e-01	
 4.4154e-01	 5.9998e-01	
 4.4232e-01	 5.8220e-01	
 4.4102e-01	 6.3481e-01	
 4.4200e-01	 6.3224e-01	
 4.4109e-01	 6.3325e-01	
 4.4498e-01	 6.1318e-01	
 4.4688e-01	 6.1703e-01	
 4.4120e-01	 5.7106e-01	
 4.4069e-01	 6.0217e-01	
 4.3891e-01	 6.0488e-01	
 4.4346e-01	 5.9328e-01	
 4.4242e-01	 6.2807e-01	
 4.3889e-01	 6.5727e-01	
 4.4086e-01	 5.8800e-01	
 4.3991e-01	 5.9409e-01	
 4.3899e-01	 6.4899e-01	
 4.3996e-01	 5.8272e-01	
 4.3683e-01	 5.9162e-01	
 4.3818e-01	 6.2353e-01	
 4.3531e-01	 5.7075e-01	
 4.4014e-01	 5.6931e-01	
 4.4081e-01	 6.1413e-01	
 4.3892e-01	 5.9786e-01	
 4.3744e-01	 5.8114e-01	
 4.3969e-01	 6.1207e-01	
 4.3671e-01	 5.5535e-01	
 4.4152e-01	 6.0358e-01	
 4.3786e-01	 5.9831e-01	
 4.3996e-01	 6.0587e-01	
 4.3491e-01	 6.1439e-01	
 4.3763e-01	 6.0384e-01	
 4.3955e-01	 5.7645e-01	
 4.3764e-01	 5.9102e-01	
 4.3688e-01	 5.6920e-01	
 4.3296e-01	 5.8394e-01	
 4.3679e-01	 5.8524e-01	
 4.3584e-01	 5.8807e-01	
 4.3487e-01	 5.7725e-01	
 4.3623e-01	 5.9479e-01	
 4.3762e-01	 5.4648e-01	
 4.4035e-01	 5.7335e-01	
 4.3550e-01	 5.8401e-01	
 4.4031e-01	 5.6355e-01	
 4.3865e-01	 5.9461e-01	
 4.3358e-01	 5.7258e-01	
 4.3764e-01	 5.9536e-01	
 4.3679e-01	 5.8140e-01	
 4.3557e-01	 5.4465e-01	
 4.4336e-01	 5.6400e-01	
 4.3633e-01	 5.7857e-01	
 4.3582e-01	 5.5117e-01	
 4.3830e-01	 5.8311e-01	
 4.4184e-01	 5.9261e-01	
 4.3709e-01	 6.1133e-01	
 4.3681e-01	 5.6342e-01	
 4.3818e-01	 6.0638e-01	
 4.3378e-01	 5.8433e-01	
 4.3520e-01	 5.6015e-01	
 4.3875e-01	 5.6290e-01	
 4.4061e-01	 5.3495e-01	
 4.3653e-01	 5.6224e-01	
 4.3555e-01	 5.8302e-01	
 4.3525e-01	 6.1249e-01	
 4.3843e-01	 5.5159e-01	
 4.3941e-01	 5.7783e-01	
 4.3803e-01	 5.4816e-01	
 4.3657e-01	 5.8920e-01	
 4.3543e-01	 5.3026e-01	
 4.3448e-01	 5.3562e-01	
 4.3670e-01	 5.9598e-01	
 4.3880e-01	 5.9199e-01	
 4.3452e-01	 5.5678e-01	
 4.4059e-01	 5.4682e-01	
 4.3500e-01	 5.9940e-01	
 4.3702e-01	 5.6072e-01	
 4.3273e-01	 5.6082e-01	
 4.3596e-01	 5.4759e-01	
 4.3272e-01	 5.3040e-01	
 4.3506e-01	 5.6926e-01	
 4.3479e-01	 5.7366e-01	
 4.3408e-01	 5.2264e-01	
 4.3677e-01	 5.4725e-01	
 4.3866e-01	 5.4741e-01	
 4.3461e-01	 5.6034e-01	
 4.3609e-01	 5.5784e-01	
 4.3514e-01	 5.6671e-01	
 4.3723e-01	 5.3245e-01	
 4.3144e-01	 5.6283e-01	
 4.3605e-01	 5.5304e-01	
 4.3231e-01	 5.5689e-01	
 4.3417e-01	 5.7022e-01	
 4.3522e-01	 5.7609e-01	
 4.3575e-01	 5.7330e-01	
 4.3514e-01	 5.4753e-01	
 4.3260e-01	 5.7123e-01	
 4.3362e-01	 5.4153e-01	
 4.3478e-01	 5.4532e-01	
 4.3485e-01	 5.2975e-01	
 4.3657e-01	 5.0442e-01	
 4.3593e-01	 5.5633e-01	
 4.3217e-01	 5.5783e-01	
 4.3803e-01	 5.2862e-01	
 4.3202e-01	 5.5744e-01	
 4.3479e-01	 5.1290e-01	
 4.3276e-01	 5.4933e-01	
 4.3564e-01	 5.5735e-01	
 4.3260e-01	 5.3638e-01	
 4.3185e-01	 5.6634e-01	
 4.3484e-01	 5.3039e-01	
 4.3483e-01	 5.4684e-01	
 4.3314e-01	 5.4226e-01	
 4.3186e-01	 5.1549e-01	
 4.3394e-01	 5.2131e-01	
 4.3355e-01	 5.4202e-01	
 4.3317e-01	 5.4158e-01	
 4.3572e-01	 5.0218e-01	
