Train source aleatoric error	Train target aleatoric error	Test target aleatoric error	
 8.3674e-01	 5.9026e-01	 5.1236e-01	
 7.8195e-01	 5.9355e-01	 4.8423e-01	
 7.5443e-01	 5.9021e-01	 5.4041e-01	
 8.0123e-01	 5.7817e-01	 4.7260e-01	
 8.3374e-01	 5.6360e-01	 4.6880e-01	
 8.5595e-01	 5.5800e-01	 4.3021e-01	
 8.4755e-01	 5.5225e-01	 4.4730e-01	
 8.5151e-01	 5.5484e-01	 4.3341e-01	
 8.6420e-01	 5.5302e-01	 4.3058e-01	
 8.6091e-01	 5.5460e-01	 4.3516e-01	
 8.6196e-01	 5.5377e-01	 4.5227e-01	
 8.5620e-01	 5.5371e-01	 4.4584e-01	
 8.5943e-01	 5.5445e-01	 4.8315e-01	
 8.6304e-01	 5.5682e-01	 4.6368e-01	
 8.5792e-01	 5.5631e-01	 4.6878e-01	
 8.4175e-01	 5.5240e-01	 4.6877e-01	
 8.6268e-01	 5.5508e-01	 4.8980e-01	
 8.5034e-01	 5.5746e-01	 4.8268e-01	
 8.6418e-01	 5.5229e-01	 4.8106e-01	
 8.5813e-01	 5.5325e-01	 4.9926e-01	
 8.5248e-01	 5.5432e-01	 5.1098e-01	
 8.5627e-01	 5.5557e-01	 4.8567e-01	
 8.5608e-01	 5.5307e-01	 5.1050e-01	
 8.5032e-01	 5.5588e-01	 4.9084e-01	
 8.4474e-01	 5.5344e-01	 5.1073e-01	
 8.4812e-01	 5.5705e-01	 4.9960e-01	
 8.6014e-01	 5.5062e-01	 5.0233e-01	
 8.5336e-01	 5.5141e-01	 5.0565e-01	
 8.6161e-01	 5.5034e-01	 4.9984e-01	
 8.5084e-01	 5.5484e-01	 5.0356e-01	
 8.4747e-01	 5.5429e-01	 5.2033e-01	
 8.6021e-01	 5.5022e-01	 5.0364e-01	
 8.5292e-01	 5.5211e-01	 5.1020e-01	
 8.6574e-01	 5.5147e-01	 5.1567e-01	
 8.5288e-01	 5.5385e-01	 5.0692e-01	
 8.6631e-01	 5.4953e-01	 5.0794e-01	
 8.6126e-01	 5.4651e-01	 5.2183e-01	
 8.5371e-01	 5.5343e-01	 5.1996e-01	
 8.6702e-01	 5.4574e-01	 5.1469e-01	
 8.6135e-01	 5.4941e-01	 5.2992e-01	
 8.5961e-01	 5.4956e-01	 5.1832e-01	
 8.7178e-01	 5.4939e-01	 5.1578e-01	
 8.6459e-01	 5.4643e-01	 5.2030e-01	
 8.7480e-01	 5.4833e-01	 5.1204e-01	
 8.6662e-01	 5.4930e-01	 5.2412e-01	
 8.6956e-01	 5.4758e-01	 5.2053e-01	
 8.5812e-01	 5.4826e-01	 5.2031e-01	
 8.7536e-01	 5.4510e-01	 5.1726e-01	
 8.7393e-01	 5.4872e-01	 5.1434e-01	
 8.7133e-01	 5.4656e-01	 5.1841e-01	
 8.7327e-01	 5.4582e-01	 5.2060e-01	
 8.6717e-01	 5.4984e-01	 5.2204e-01	
 8.6584e-01	 5.4493e-01	 5.3390e-01	
 8.7050e-01	 5.4502e-01	 5.3110e-01	
 8.7640e-01	 5.4398e-01	 5.2238e-01	
 8.6783e-01	 5.4778e-01	 5.2373e-01	
 8.6782e-01	 5.4797e-01	 5.3153e-01	
 8.6847e-01	 5.4823e-01	 5.2915e-01	
 8.6816e-01	 5.4569e-01	 5.2700e-01	
 8.7096e-01	 5.4420e-01	 5.3919e-01	
 8.7760e-01	 5.4407e-01	 5.2543e-01	
 8.6095e-01	 5.4708e-01	 5.2877e-01	
 8.7117e-01	 5.4607e-01	 5.2882e-01	
 8.6773e-01	 5.4628e-01	 5.3176e-01	
 8.7257e-01	 5.4488e-01	 5.1322e-01	
 8.6613e-01	 5.4573e-01	 5.2248e-01	
 8.6760e-01	 5.4741e-01	 5.3005e-01	
 8.6922e-01	 5.4641e-01	 5.2644e-01	
 8.7056e-01	 5.4534e-01	 5.2846e-01	
 8.6841e-01	 5.4612e-01	 5.3048e-01	
 8.7651e-01	 5.4275e-01	 5.3248e-01	
 8.7077e-01	 5.4607e-01	 5.2646e-01	
 8.6588e-01	 5.4768e-01	 5.2478e-01	
 8.6628e-01	 5.4800e-01	 5.2432e-01	
 8.6824e-01	 5.4765e-01	 5.2313e-01	
 8.6682e-01	 5.4478e-01	 5.3641e-01	
 8.7123e-01	 5.4574e-01	 5.3868e-01	
 8.7192e-01	 5.4445e-01	 5.3199e-01	
 8.7353e-01	 5.4322e-01	 5.2450e-01	
 8.6805e-01	 5.4349e-01	 5.3758e-01	
 8.6971e-01	 5.4668e-01	 5.3322e-01	
 8.7227e-01	 5.4366e-01	 5.3029e-01	
 8.7201e-01	 5.4383e-01	 5.3011e-01	
 8.7059e-01	 5.4614e-01	 5.3128e-01	
 8.7355e-01	 5.4563e-01	 5.4140e-01	
 8.7456e-01	 5.4484e-01	 5.2824e-01	
 8.7464e-01	 5.4249e-01	 5.2994e-01	
 8.6660e-01	 5.4641e-01	 5.3378e-01	
 8.7387e-01	 5.4466e-01	 5.3068e-01	
 8.7627e-01	 5.4235e-01	 5.3157e-01	
 8.7259e-01	 5.4486e-01	 5.3458e-01	
 8.7231e-01	 5.4409e-01	 5.3302e-01	
 8.6991e-01	 5.4441e-01	 5.3204e-01	
 8.6542e-01	 5.4443e-01	 5.3478e-01	
 8.6752e-01	 5.4628e-01	 5.3359e-01	
 8.6776e-01	 5.4474e-01	 5.4159e-01	
 8.6796e-01	 5.4570e-01	 5.3443e-01	
 8.7170e-01	 5.4397e-01	 5.3548e-01	
 8.6686e-01	 5.4545e-01	 5.3615e-01	
 8.6746e-01	 5.4313e-01	 5.3429e-01	
 8.7503e-01	 5.4287e-01	 5.3000e-01	
 8.7235e-01	 5.4494e-01	 5.3458e-01	
 8.7501e-01	 5.4297e-01	 5.2778e-01	
 8.7264e-01	 5.4538e-01	 5.3174e-01	
 8.6970e-01	 5.4302e-01	 5.3651e-01	
 8.7103e-01	 5.4505e-01	 5.3495e-01	
 8.7264e-01	 5.4258e-01	 5.3661e-01	
 8.7092e-01	 5.4232e-01	 5.4064e-01	
 8.7289e-01	 5.4304e-01	 5.3104e-01	
 8.7107e-01	 5.4346e-01	 5.2816e-01	
 8.7559e-01	 5.4439e-01	 5.3721e-01	
 8.6971e-01	 5.4239e-01	 5.3422e-01	
 8.6721e-01	 5.4466e-01	 5.3298e-01	
 8.7053e-01	 5.4342e-01	 5.3860e-01	
 8.7545e-01	 5.4192e-01	 5.3220e-01	
 8.7820e-01	 5.4146e-01	 5.3246e-01	
 8.7173e-01	 5.4379e-01	 5.3088e-01	
 8.7557e-01	 5.4054e-01	 5.3775e-01	
 8.7207e-01	 5.4362e-01	 5.3584e-01	
 8.7619e-01	 5.4170e-01	 5.3742e-01	
 8.7194e-01	 5.4400e-01	 5.3024e-01	
 8.7684e-01	 5.4359e-01	 5.3280e-01	
