Train source var	Train target var	Test var	
 1.9249e-03	 1.7795e-03	 1.9041e-03	
 1.9626e-03	 1.8175e-03	 1.9640e-03	
 1.9675e-03	 1.8510e-03	 1.9528e-03	
 1.9765e-03	 1.8612e-03	 1.9506e-03	
 1.9749e-03	 1.8982e-03	 1.9931e-03	
 1.9811e-03	 1.8841e-03	 1.9903e-03	
 1.9927e-03	 1.8751e-03	 1.9805e-03	
 1.9956e-03	 1.8889e-03	 2.0361e-03	
 1.9981e-03	 1.9015e-03	 2.0270e-03	
 2.0071e-03	 1.8956e-03	 2.0461e-03	
 2.0041e-03	 1.9154e-03	 2.0509e-03	
 2.0096e-03	 1.9350e-03	 2.0601e-03	
 2.0072e-03	 1.9253e-03	 2.0939e-03	
 2.0119e-03	 1.9208e-03	 2.0387e-03	
 2.0135e-03	 1.9601e-03	 2.0971e-03	
 2.0105e-03	 1.9708e-03	 2.0917e-03	
 2.0156e-03	 1.9572e-03	 2.0420e-03	
 2.0139e-03	 1.9867e-03	 2.1551e-03	
 2.0121e-03	 1.9925e-03	 2.1067e-03	
 2.0191e-03	 1.9841e-03	 2.1298e-03	
 2.0151e-03	 2.0096e-03	 2.1715e-03	
 2.0193e-03	 1.9868e-03	 2.1157e-03	
 2.0149e-03	 1.9925e-03	 2.1173e-03	
 2.0192e-03	 1.9956e-03	 2.1060e-03	
 2.0163e-03	 1.9888e-03	 2.1206e-03	
 2.0235e-03	 2.0062e-03	 2.1463e-03	
 2.0181e-03	 1.9786e-03	 2.1598e-03	
 2.0180e-03	 1.9939e-03	 2.1290e-03	
 2.0147e-03	 1.9852e-03	 2.1214e-03	
 2.0296e-03	 1.9814e-03	 2.1012e-03	
 2.0196e-03	 2.0021e-03	 2.1317e-03	
 2.0185e-03	 2.0060e-03	 2.1724e-03	
 2.0146e-03	 2.0088e-03	 2.1749e-03	
 2.0210e-03	 2.0135e-03	 2.1597e-03	
 2.0146e-03	 2.0122e-03	 2.1707e-03	
 2.0241e-03	 1.9872e-03	 2.1385e-03	
 2.0208e-03	 1.9984e-03	 2.1899e-03	
 2.0179e-03	 1.9995e-03	 2.1965e-03	
 2.0196e-03	 2.0056e-03	 2.1242e-03	
 2.0237e-03	 1.9807e-03	 2.1434e-03	
 2.0246e-03	 2.0051e-03	 2.1723e-03	
 2.0191e-03	 1.9803e-03	 2.1587e-03	
 2.0230e-03	 1.9866e-03	 2.1636e-03	
 2.0194e-03	 1.9904e-03	 2.1948e-03	
 2.0272e-03	 2.0034e-03	 2.1540e-03	
 2.0221e-03	 1.9932e-03	 2.0556e-03	
 2.0192e-03	 1.9918e-03	 2.1584e-03	
 2.0228e-03	 2.0182e-03	 2.1576e-03	
 2.0230e-03	 2.0025e-03	 2.2047e-03	
 2.0234e-03	 2.0099e-03	 2.2068e-03	
 2.0239e-03	 2.0014e-03	 2.1653e-03	
 2.0176e-03	 1.9976e-03	 2.1674e-03	
 2.0243e-03	 1.9998e-03	 2.1744e-03	
 2.0226e-03	 2.0096e-03	 2.2067e-03	
 2.0221e-03	 2.0193e-03	 2.2535e-03	
 2.0238e-03	 2.0053e-03	 2.1242e-03	
 2.0259e-03	 2.0186e-03	 2.1892e-03	
 2.0239e-03	 2.0054e-03	 2.1348e-03	
 2.0249e-03	 2.0244e-03	 2.2122e-03	
 2.0207e-03	 2.0137e-03	 2.2147e-03	
 2.0182e-03	 2.0207e-03	 2.2192e-03	
 2.0197e-03	 2.0083e-03	 2.2207e-03	
 2.0229e-03	 2.0163e-03	 2.1842e-03	
 2.0230e-03	 2.0178e-03	 2.1310e-03	
 2.0216e-03	 2.0172e-03	 2.1838e-03	
 2.0217e-03	 2.0047e-03	 2.2093e-03	
 2.0227e-03	 2.0224e-03	 2.1898e-03	
 2.0184e-03	 2.0118e-03	 2.2360e-03	
 2.0259e-03	 2.0049e-03	 2.2524e-03	
 2.0251e-03	 2.0126e-03	 2.1811e-03	
 2.0240e-03	 2.0113e-03	 2.1934e-03	
 2.0204e-03	 1.9950e-03	 2.2568e-03	
 2.0249e-03	 2.0117e-03	 2.1905e-03	
 2.0257e-03	 2.0238e-03	 2.2194e-03	
 2.0218e-03	 2.0037e-03	 2.2379e-03	
 2.0314e-03	 2.0181e-03	 2.1851e-03	
 2.0266e-03	 2.0222e-03	 2.1743e-03	
 2.0196e-03	 2.0031e-03	 2.2225e-03	
 2.0259e-03	 2.0000e-03	 2.2256e-03	
 2.0266e-03	 2.0178e-03	 2.1967e-03	
 2.0164e-03	 2.0179e-03	 2.2457e-03	
 2.0303e-03	 2.0085e-03	 2.1337e-03	
 2.0232e-03	 1.9953e-03	 2.1986e-03	
 2.0280e-03	 1.9860e-03	 2.2133e-03	
 2.0198e-03	 2.0215e-03	 2.2407e-03	
 2.0217e-03	 2.0308e-03	 2.2526e-03	
 2.0209e-03	 2.0240e-03	 2.2385e-03	
 2.0187e-03	 2.0266e-03	 2.1994e-03	
 2.0198e-03	 2.0145e-03	 2.2435e-03	
